Hisseler,Son,% Fark,Hacim (TL),Saat
GARFA_GARANTI_FAKTORING,23.88,-2.29,8832017.02,18:10
GATEG_GATE_GROUP_TEKNOLOJI,175.2,9.98,6507202.00,18:10
GEDIK_GEDIK_Y_MEN_DEG,4.97,-4.79,93286339.61,18:10
GEDZA_GEDIZ_AMBALAJ,23,-3.36,5691251.78,18:10
GENIL_GEN_ILAC,6.75,0.15,503893246.52,18:10
GENKM_GENTAS_KIMYA,8,-1.36,39951955.83,18:10
GENTS_GENTAS,4.29,-4.45,15148456.39,18:10
GEREL_GERSAN_ELEKTRIK,26.6,5.06,263107210.02,18:10
GESAN_GIRISIM_ELEKTRIK_SANAYI,45.46,-5.33,803125657.46,18:10
GIPTA_GIPTA_OFIS_KIRTASIYE,32.82,-9.98,6205408.68,18:10
GLBMD_GLOBAL_MEN_DEG,10.67,-2.11,708150.22,18:10
GLCVY_GELECEK_VARLIK_YONETIMI,44,-4.10,14032203.46,18:10
GLRMK_GULERMAK_AGIR_SANAYI,143.4,-2.58,725599967.40,18:10
GLRYH_GULER_YAT_HOLDING,1.88,-1.05,12115395.69,18:10
GLYHO_GLOBAL_YAT_HOLDING,15.65,-0.70,55619740.96,18:10
GMTAS_GIMAT_MAGAZACILIK,49.02,0,78333429.48,18:10
GOKNR_GOKNUR_GIDA,15.43,-2.34,31329028.03,18:10
GOLDA_GOLDA_GIDA,8.73,-6.83,97640388.99,18:10
GOLTS_GOLTAS_CIMENTO,257.25,-2.74,24939530.25,18:10
GOODY_GOOD-YEAR,2.19,-3.10,16552436.72,18:10
GOZDE_GOZDE_GIRISIM,19.44,-1.67,21527855.43,18:10
GRNYO_GARANTI_YAT_ORT,8.09,-3.23,7247827.48,18:10
GRSEL_GUR-SEL_TURIZM_TASIMACILIK,268.75,-2.27,42976363.25,18:10
GRTHO_GRAINTURK_HOLDING,105.6,-9.97,891611234.70,18:10
GSDDE_GSD_DENIZCILIK,12.06,-1.55,27626622.14,18:10
GSDHO_GSD_HOLDING,4.04,-1.22,80285165.09,18:10
GSRAY_GALATASARAY_SPORTIF,0.88,-2.22,74878475.95,18:10
GUBRF_GUBRE_FABRIK,430.25,-4.02,1110790838.25,18:10
GUNDG_GUNDOGDU_GIDA,351.75,-9.98,221250.75,18:10
GWIND_GALATA_WIND_ENERJI,20.6,-2.46,46404859.38,18:10
GZNMI_GEZINOMI_SEYAHAT,33.2,-5.14,30819860.72,18:10
HALKB_T_HALK_BANKASI,45.2,-1.87,666730168.24,18:10
HATEK_HATAY_TEKSTIL,8.96,-9.95,25233502.12,18:10
HATSN_HATSAN_GEMI,35.42,0.40,296038413.42,18:10
HDFGS_HEDEF_GIRISIM,1.02,-9.73,1142961.00,18:10
HEDEF_HEDEF_HOLDING,12.71,-9.99,1445368.49,18:10
HEKTS_HEKTAS,2.16,-4.85,380586288.65,18:10
HKTM_HIDROPAR_HAREKET_KONTROL,10.25,-2.47,50561451.03,18:10
HLGYO_HALK_GMYO,4.06,-3.10,108419688.04,18:10
HOROZ_HOROZ_LOJISTIK,45.76,-2.93,31517695.28,18:10
HRKET_HAREKET_PROJE_TASIMACILIGI,8.08,1.89,1158205327.19,18:10
HTTBT_HITIT_BILGISAYAR,30.68,-1.48,8313054.64,18:10
HUBVC_HUB_GIRISIM,1.57,-4.85,3835385.68,18:10
HUNER_HUN_YENILENEBILIR_ENERJI,4.08,-0.73,132301727.98,18:10
HURGZ_HURRIYET_GZT,6.16,-2.22,25878457.42,18:10
ICBCT_ICBC_TURKEY_BANK,16.1,-4.90,13581920.42,18:10
ICUGS_ICU_GIRISIM,2.01,-9.87,51117533.62,18:10
IDGYO_IDEALIST_GMYO,2.25,-2.17,2494562.71,18:10
IEYHO_ISIKLAR_ENERJI_YAPI_HOL,110.2,-9.97,203980.20,18:10
IHAAS_IHLAS_HABER_AJANSI,28.56,-9.96,19997601.16,18:10
IHEVA_IHLAS_EV_ALETLERI,1.63,-2.98,1408418.56,18:10
IHGZT_IHLAS_GAZETECILIK,1.01,-6.48,26208759.93,18:10
IHLAS_IHLAS_HOLDING,0.93,-3.13,64610674.97,18:10
IHLGM_IHLAS_GAYRIMENKUL,1.26,-5.97,25313752.19,18:10
IHYAY_IHLAS_YAYIN_HOLDING,1.03,-4.63,2841107.62,18:10
IMASM_IMAS_MAKINA,1.65,-6.25,19970612.76,18:10
INDES_INDEKS_BILGISAYAR,10.36,-3.45,25811692.08,18:10
INFO_INFO_YATIRIM,1.18,-9.92,1843387.74,18:10
INGRM_INGRAM_BILISIM,313.75,-2.33,5210944.00,18:10
INTEK_INNOSA_TEKNOLOJI,184.7,2.27,962033.90,18:10
INTEM_INTEMA,214.5,-0.92,4881929.40,18:10
INTET_INTETRA_TEKNOLOJI,50.8,-2.40,375661022.01,18:10
INVEO_INVEO_YATIRIM_HOLDING,6.02,-3.68,89358772.55,18:10
INVES_INVESTCO_HOLDING,715,-3.90,35792472.50,18:10
ISATR_IS_BANKASI_(A),4950000.00,0,0,18:10
ISBIR_ISBIR_HOLDING,60,-5.66,1151854.65,18:10
ISBTR_IS_BANKASI_(B),446487.50,-0.00,446487.50,18:10
ISCTR_IS_BANKASI_(C),13.2,-3.23,5100179783.22,18:10
ISDMR_ISKENDERUN_DEMIR_CELIK,62.45,-1.03,183301113.85,18:10
ISFIN_IS_FINKIR,18.23,-3.03,25396901.06,18:10
ISGSY_IS_GIRISIM,13.42,-3.73,41744914.16,18:10
ISGYO_IS_GMYO,23.84,-1.73,8714187.80,18:10
ISKPL_ISIK_PLASTIK,3.13,-9.80,126944857.51,18:10
ISKUR_IS_BANKASI_(KUR),4125000.00,0,0,18:10
ISMEN_IS_Y_MEN_DEG,32.3,-2.83,101709254.76,18:10
ISSEN_ISBIR_SENTETIK_DOKUMA,5.56,-6.24,6094989.01,18:10
ISVEA_ISVEA_SERAMIK_VE_BANYO,46.58,-9.99,257820.30,18:10
ISYAT_IS_YAT_ORT,7.01,1.59,13650680.53,18:10
IZENR_IZDEMIR_ENERJI,4,-3.61,113936135.74,18:10
IZFAS_IZMIR_FIRCA,24.44,-9.95,5531016.40,18:10
IZINV_IZ_YATIRIM_HOLDING,32.52,-4.07,6218325.04,18:10
IZMDC_IZMIR_DEMIR_CELIK,7.23,-1.36,36520520.14,18:10
JANTS_JANTSA_JANT_SANAYI,14.37,-3.56,18230061.64,18:10
KAPLM_KAPLAMIN,160.4,-9.99,5823322.00,18:10
KARCL_KARDEMIR_CELIK,111.6,-10.00,3526448.40,18:10
KAREL_KAREL_ELEKTRONIK,6.2,-2.36,73033248.48,18:10
KARSN_KARSAN_OTOMOTIV,9.34,-3.71,163009926.31,18:10
KARTN_KARTONSAN,107,-3.95,62088327.30,18:10
KATMR_KATMERCILER_EKIPMAN,1.56,-4.88,76437862.88,18:10
KAYSE_KAYSERI_SEKER_FABRIKASI,3.33,-0.60,42814198.11,18:10
KBORU_KUZEY_BORU,12.87,-4.24,450470979.97,18:10
KCAER_KOCAER_CELIK,11.01,-4.09,95403052.79,18:10
KCHOL_KOC_HOLDING,216,-2.31,4121492020.30,18:10
KENT_KENT_GIDA,290,-2.85,1008625.25,18:10
KERVN_KERVANSARAY_YAT_HOLDING,7.87,-6.31,6522883.74,18:10
KFEIN_KAFEIN_YAZILIM,6.09,-1.93,16572173.31,18:10
KGYO_KORAY_GMYO,7.75,-9.99,18907752.50,18:10
KIMMR_KIM_MARKET-ERSAN_ALISVERIS,11.27,-2.09,6856991.29,18:10
KLGYO_KILER_GMYO,3.75,-4.58,37026252.78,18:10
KLKIM_KALEKIM_KIMYEVI_MADDELER,23.02,-2.87,22035881.08,18:10
KLMSN_KLIMASAN_KLIMA,22.26,-2.96,14949380.68,18:10
KLNMA_T_KALKINMA_BANK,8.26,-1.43,839995.08,18:10
KLRHO_KILER_HOLDING,27.82,-9.97,7403208.02,18:10
KLSER_KALESERAMIK,19.69,-1.55,13440790.64,18:10
KLSYN_KOLEKSIYON_MOBILYA,14,-0.50,29772405.64,18:10
